test,time,reading,voltage,htemp,ltemp
10,11:34:33.1300000,1,8.4000000000000005E-2,65,59
10,11:35:04.6600000,2,0.28000000000000003,98,60
10,11:35:23.0433333,3,0.45000000000000001,142,62
10,11:35:35.7300000,4,0.48999999999999999,149,63
10,11:35:47.5866667,5,0.52000000000000002,175,65
10,11:36:00.5133333,6,0.55000000000000004,188,66
10,11:36:18.1200000,7,0.54000000000000004,199,66
10,11:36:30.9500000,8,0.56000000000000005,204,67
10,11:36:52.3300000,9,0.56000000000000005,210,67
10,11:37:12.6800000,10,0.53000000000000003,203,67
10,11:37:38.3966667,11,0.54000000000000004,201,68
10,11:38:03.3366667,12,0.55000000000000004,202,69
10,11:38:20.5800000,13,0.56000000000000005,205,69
10,11:38:49.7533333,14,0.56999999999999995,206,67
10,11:39:24.7266667,15,0.55000000000000004,201,67
10,11:41:48.4400000,16,0.47999999999999998,192,73
10,11:42:03.7900000,17,0.45000000000000001,196,75
10,11:42:17.1800000,18,0.41999999999999998,195,73
10,11:44:08.6100000,,1.28,197,68
10,11:46:05.8700000,20,1.23,180,70
10,11:46:35.3833333,21,1.2,175,69
10,11:46:47.0966667,22,1.3999999999999999,220,71
10,11:47:18.5833333,23,1.5,224,74
10,11:48:32.8500000,24,1.2,215,72
10,11:48:53.1966667,25,1.3999999999999999,230,72
10,11:50:06.4466667,26,1.3999999999999999,205,70
10,11:50:32.4500000,27,1.4199999999999999,230,70
10,11:50:45.3800000,28,1.3500000000000001,225,69
10,11:51:10.6833333,30,1.3,210,77
10,11:51:24.6233333,31,1.27,192,66
10,11:52:25.0200000,32,1,196,67
10,11:52:35.8333333,33,1.03,200,67
10,11:52:47.6700000,34,1.04,205,67
10,11:53:08.2200000,35,1.05,203,67
10,11:53:19.1866667,36,1.0700000000000001,204,68
10,11:53:34.5433333,37,1.1200000000000001,209,71
10,11:53:53.6100000,38,1.1299999999999999,213,72
10,11:55:26.3033333,39,1.05,200,71
10,11:55:52.0400000,40,1.1399999999999999,205,75
