Test,Time,Reading,Voltage,HTemp,LTemp
1,20:30:00.0000000,1,0.35999999999999999,98,17
1,20:35:00.0000000,2,0.33000000000000002,100,20
1,20:40:00.0000000,3,0.28000000000000003,96,22
1,20:45:00.0000000,4,0.26000000000000001,90,19
1,20:50:00.0000000,5,0.29999999999999999,91,20
1,20:55:00.0000000,6,0.34999999999999998,101,26
2,07:58:32.5366667,1,0.001,19,18.699999999999999
2,08:05:05.8700000,2,0.45000000000000001,100,27
2,08:05:57.9266667,3,0.56000000000000005,120,26
2,08:06:23.6033333,4,0.52000000000000002,132,24
2,08:07:13.3533333,5,0.41999999999999998,120,31
2,08:07:50.8333333,6,0.47999999999999998,141,36
2,08:08:31.8766667,7,0.48999999999999999,146,40
2,08:09:08.2433333,8,0.41999999999999998,141,42
2,08:09:28.1366667,9,0.42999999999999999,142,43
2,08:10:15.2933333,10,0.47999999999999998,150,46
2,08:10:49.9000000,11,0.45000000000000001,147,48
2,08:11:49.1333333,12,0.35999999999999999,140,52
2,08:12:26.3000000,13,0.34000000000000002,133,60
2,08:13:07.1966667,14,0.44,145,53
2,08:13:48.5900000,15,0.45000000000000001,152,49
2,08:14:38.6000000,16,0.45000000000000001,160,51
2,08:14:54.7166667,17,0.42999999999999999,162,54
2,08:15:48.7400000,18,0.42999999999999999,165,59
2,08:18:05.5000000,19,0.35999999999999999,168,65
2,08:19:01.3500000,20,0.34999999999999998,162,62
2,08:19:46.5000000,21,0.37,167,65
2,08:24:01.9733333,22,0.66000000000000003,200,33
2,08:25:02.5866667,23,0.78000000000000003,280,33
2,08:31:51.1866667,24,0.46000000000000002,120,60
2,08:32:18.5500000,25,0.34000000000000002,120,60
2,08:33:31.8333333,26,0.5,139,60
2,08:33:43.3166667,27,0.57999999999999996,160,63
2,08:34:05.2966667,28,0.53000000000000003,160,66
2,08:34:58.8700000,29,0.35999999999999999,142,64
2,08:37:57.1366667,30,0.40000000000000002,175,46
2,08:38:25.8766667,31,0.40999999999999998,177,50
2,08:38:59.2766667,32,0.42999999999999999,175,49
2,08:39:25.1200000,33,0.42999999999999999,173,50
2,08:40:33.4800000,34,0.41999999999999998,158,50
2,08:44:32.2700000,35,0.51000000000000001,170,50
2,08:44:42.9500000,36,0.54000000000000004,186,54
2,08:45:14.0400000,37,0.52000000000000002,192,56
2,08:45:32.2433333,38,0.46000000000000002,187,57
2,08:48:54.0666667,39,0.59999999999999998,175,61
2,08:49:18.5333333,40,0.52000000000000002,172,61
2,08:49:37.8033333,41,0.54000000000000004,173,61
2,08:51:04.6333333,42,0.38,185,63
2,08:51:25.9666667,43,0.40000000000000002,215,65
2,08:51:38.7000000,44,0.34000000000000002,220,63
2,08:51:56.0533333,45,0.29999999999999999,220,61
2,08:52:19.8800000,46,0.23999999999999999,182,56
3,09:04:17.6500000,1,5.0000000000000003E-2,62,41
3,09:04:40.4200000,2,5.9999999999999998E-2,64,42
3,09:05:15.5800000,3,0.055,63,40
3,09:05:28.4166667,4,5.9999999999999998E-2,63,40
3,09:06:03.5800000,5,5.9999999999999998E-2,65,40
3,09:06:39.7100000,6,5.1999999999999998E-2,61,37
3,09:07:23.3733333,7,8.9999999999999997E-2,65,37
3,09:07:39.6900000,8,0.12,70,39
3,09:08:04.8533333,9,0.14999999999999999,81,43
3,09:08:25.3933333,10,0.17999999999999999,89,45
3,09:08:46.3300000,11,0.20000000000000001,96,47
3,09:09:07.5966667,12,0.23000000000000001,104,50
3,09:09:29.8266667,13,0.23999999999999999,112,53
3,09:09:45.8700000,14,0.25,120,56
3,09:10:06.6033333,15,0.23999999999999999,119,55
3,09:10:25.0933333,16,0.23999999999999999,119,52
3,09:11:21.1133333,17,0.17000000000000001,100,53
3,09:12:01.2900000,18,0.41999999999999998,140,57
3,09:12:10.5166667,19,0.45000000000000001,153,55
3,09:12:22.1033333,20,0.45000000000000001,160,53
3,09:12:46.2466667,21,0.45000000000000001,167,51
3,09:13:00.0600000,22,0.38,161,47
3,09:17:46.0800000,,0.20999999999999999,131,50
3,09:17:57.7833333,,0.20000000000000001,131,50
3,09:18:11.3433333,25,0.22,132,50
3,09:18:42.7866667,26,0.23000000000000001,135,51
3,09:19:45.6700000,27,0.25,137,59
3,09:19:58.9466667,28,0.26000000000000001,140,52
3,09:20:20.5933333,29,0.28999999999999998,142,53
3,09:20:36.2766667,30,0.34000000000000002,154,55
3,09:20:49.3433333,31,0.34999999999999998,157,57
3,09:21:06.6066667,32,0.33000000000000002,162,58
3,09:21:24.2533333,33,0.33000000000000002,163,59
3,09:22:12.6233333,34,0.34999999999999998,169,62
3,09:22:28.3666667,35,0.35999999999999999,172,62
100,09:29:25.9966667,1,0,23,24
100,09:30:22.3766667,2,0.001,25,24
100,09:35:07.1033333,3,0.002,25,24
100,09:35:25.2433333,4,5.0000000000000001E-3,25.5,25
100,09:36:01.9666667,5,6.0000000000000001E-3,27,26
100,09:36:24.0600000,6,7.0000000000000001E-3,27,26.300000000000001
100,09:36:35.7566667,7,8.0000000000000002E-3,28,26
100,09:37:33.3566667,8,8.9999999999999993E-3,29,27
100,09:38:14.6266667,9,5.0000000000000001E-3,28.800000000000001,27
100,09:38:31.3400000,10,8.0000000000000002E-3,28.800000000000001,26.800000000000001
100,09:39:05.3333333,11,6.0000000000000001E-3,28.300000000000001,26.399999999999999
100,09:39:21.2533333,12,5.0000000000000001E-3,28,25.800000000000001
100,09:40:44.5266667,13,7.0000000000000001E-3,27.800000000000001,26
100,09:41:04.1266667,14,8.0000000000000002E-3,28,26.399999999999999
